case_id,case_number,investigation_started,decision_date,duration_months,case_name,parties_name,parties_count,report_route,decision_type,article_infringed,offense_nature,commissioner,commissioner_id,appeal,court_case_linked,,,,,,,
64,26992,20.07.1972,22.12.1972,5,WEA-FILIPACCHI MUSIC,COGEDEP Paris; SA d'exploitation des Éts Gavelle et Cie Discobole; FNAC SA; Au Bon Marché; Au Printemps; Magenta Musique; Codimusic SA; S. Wolf; CMN Comptoir musical de Normandie; Ëts Discoparade; Disco-Centre A. Tessanne; Insturments Claude Ridel; Desforges et Co SA; Société centrale de distribution matérial radio-télévision ; Éts Erbel; DEM Grossiste Disques; Éts Téléglobe; Maison Raphaël,18,Commission own initiative,Infringement,81,Vertical export ban,S. L. Mansholt (P),4,0,,,,,,,,
65,26918,31.05.1972,02.01.1973,7,EUROPEAN SUGAR INDUSTRY,Raffinerie Tirlemontoise SA; NV Centrale Suiker Maatschappij NV; Cooperatieve Vereniging Suiker Unie UA; Westdeutsche Zuckervertriebsgesellschaft mbH & Co KG; Pfeifer & Langen; Südzucker Verkauf GmbH; Süddeutsche Zucker AG; Zückerfabrik Franken GmbH; Sucre-Union SA; Société des Raffineries et Sucreries Say; Société F. Béghin SA; Générale Sucrière SA; Société Nouvelle de Faffinerie Lebaudy-Sommier SA; Groupement d'Intérèt Economique Lebaudy-SUC; Sucres & Denrées SA; Eridania Zuccherifici Naxionali SpA; Società Generale di Zuccherifici (Société Générale de Sucreries); Cavarzere-Produzioni Industriali; Società Italiana per l'Industria degli Zuccheri SpA; Romana Zucchero SpA; Zuccherificio del Volano SpA; SADAM SpA; Zuccherificio di Sermide SpA,24,Commission own initiative,Infringement,"81, 82","Horizontal market sharing, price fixing and collusive tendering; Exerting pressure to restrict intra-Community trade",S. L. Mansholt (P),4,1,"40/73, 41/73, 42/73, 43/73, 44/73, 45/73, 46/73, 47/73, 48/73, 49/73, 50/73, 54/73, 55/73, 56/73, 111/73, 113/73, 114/73",,,,,,,
66,"791, 1373, 1374, 1498, 1499, 1500",25.01.1963,11.05.1973,123,SCPA - Kali und Salz,Verenigte Kaliwerke Salzdetfurth AG; Bergwerksgesellschaft Mariaglück GmbH; Wintershall AG; Gewerkschaft Winterhall; Burbach-Kaliwerke AG; Kali-Chemie AG; Gewerkschaft Baden; Gewerkschaft Markgräfler,8,Complaint and Notification,Infringement,81,Horizontal practices,Francois-Xavier Ortoli (P),5,0,,,,,,,,
67,14111,31.01.1963,14.06.1973,124,Du Pont de Nemours (Deutschland),Du Pont de Nemours (Deutschland,1,Notification,Negative Clearance,81,Vertical Restraints,Francois-Xavier Ortoli (P),5,0,,,,,,,,
68,25963,03.01.1996,03.07.1973,270,Gas Water-Heaters and Bath-Heaters,"SPRL Le Renova; SA Contigea; SNCR Joski et Fils; SA Etablissements, Guillaume Prist; SAB Chafforeaux et Maury",5,Notification,Infringement,81,Vertical restraints,Francois-Xavier Ortoli (P),5,0,,,,,,,,
69,27010,26.07.1972,05.10.1973,14,Deutsche PHILIPS GmbH,Deutssche Philips GmbH Hamburg,1,Commission own initiative,Infringement,81,Vertical export ban,Francois-Xavier Ortoli (P),5,0,,,,,,,,
70,26825,09.04.1970,08.10.1973,42,PRYM-BEKA,William Prym-Werke KG; SA Manufacture Belge d'Aiguilles Beka,2,Notification,Exemption,81,Horizontal restraints,Francois-Xavier Ortoli (P),5,0,,,,,,,,
71,223,27.10.1972,21.12.1973,14,Transocean Marine Paint Association,"Molijn & Co. NV; J.C. de Coninck en Zonen NV; Astral, Société de Peintures, Vernis et Encres d'Imprimerie; Veneziani Zonca S.p.A.; Farbenfabriken Hansa-Hoëg; Storry Smithson Group of Companies; Sadolin & Holmblad A/S; C.Ljungdahls AB; Urruzola SA; The National Lacquer and Paint Products Co. Ltd.; Pacific Products Inc.; Nippon Paint Co. Ltd. Osaka; Nippon Paint Ltd. Singapore; Nippon Paint Malaysia; Nippon Paint Co. Ltd. Thailand; Spartan Paints Pty.Ltd Melbourne; Patterson-Sargent; Galleon Paints Co. Ltd.; Mauvilac & Co. Ltd.; Antillian Paint Factory Ltd.",20,Notification,Exemption,81,Horizontal agreement,Francois-Xavier Ortoli (P),5,1,17/74,,,,,,,
72,795,17.11.1972,21.12.1973,13,Kali und Salz / Kali-Chemie,Kali und Salz AG; Kali Chemie AG ,2,Commission own initiative,Infringement,81,Horizontal market sharing,Francois-Xavier Ortoli (P),5,1,"19/74, 20/74",,,,,,,
73,400,30.10.1962,15.05.1974,139,Manufacturers of Glass Containers (IFTRA),"Gerresheimer Glas Aktiengesellschaft; Veba-Glas AG; H. Heye Glasfabrik ""Schauenstein""; Himly, Holscher & Co KG; Beyerische Glaschen-Glashüttenwerke Wiegand & Söhne GmbH; Carl.Aug. Heinz Glashüttenwerke; Lüner Glashüttenwerke GmbH; Glashüttenwerke Ernst W. Müller GmbH; Noelle & von Campe Glashütte GmbH; Oberland-Glas GmbH; Spessarter Hohlglaswerke GmbH; Tettauer Glashüttenwerke AG; Weck Glaswerk GmbH; Verlica-Momignies S.A.; Boutteilleries Belges Réunies S.A.; N.V. Vereenigde Glasfabrieken (United Glasswork); Boussois-Souchon-Neuvesel (BSN) S.A.; Saint-Gobain Emballage S.A.; Verreries de Blanc-Misseron S.A.; Verrerie Ouvrière d'Albi S.A.; Verreries du Pay-de Dôme S.A.; Bordoni Miva Vetrerie Riunite SpA; Aziende Vetrarie Italiane Ricciardi AVIR SpA; Vetreria Italiana VETR.I. SpA  ",24,Notification,Infringement,81,"Price fixing, discrimination and verticel export ban",Francois-Xavier Ortoli (P),5,0,,,,,,,,
74,426,14.06.1973,23.07.1974,14,Papier peints de Belgique,S.C. Usines Peters-Lacroix S.A.; Les Papeteries de Genval S.A.; Ets. Vanderborght Frères S.A.; Papiers peints Brepols S.A.,4,Commission own initiative,Infringement,81,Horizontal aggregated rebate cartel and collective boycot,Francois-Xavier Ortoli (P),5,1,73/74,,,,,,,
75,28374,27.12.1973,24.07.1974,7,Advocaat Zwarte Kip,Van Olffen VB; Cinoco SA,2,Notification,Infringement,81,Vertical export ban Market-sharing,Francois-Xavier Ortoli (P),5,0,,,,,,,,
76,26602,08.02.1968,25.07.1974,78,Frubo,"Algemene Vruchten Import Mij (AVIM) N.V.; Fruit- en Groenten Maatschappij Jac. Van den Berg B.V.; Jan van den Brink B.V.; Citronas B.V.; De la Bella & Co. B.V.; P. van Hoeckel & Co's Im- en Exporthandel B.V.; Van der Horst's Fruitimport ""Hofrim""B.V.; B.V. Internationale Fruit Maatschappij; Kooy Rotterdam B.V. p/a Diskomarkt Groothandelsmarkt ""Spaanse Polder""; T. Port B.V.; B.V. Solbandera Valencia Sinaasappelen Import Maatschappij; Velleman & Tas B.V. ",12,Notification,Infringement,81,Discrimination and agreements (horizontal),Francois-Xavier Ortoli (P),5,1,71/74,,,,,,,
77,27095,14.09.1973,29.11.1974,15,Entente Fr. Jap Roulements a billes (ballbearing),SKF Compagnie d'applications mécaniques SA; SNR Société nouvelle de roulements; Chambre syndicale nationale de la mécanique de haute précision; Nippon Seiko Kaisha; Koyo Seiko Co. Ltd.; Fujikoshi Ltd.; NTN Toyo Bearing C. Ltd.; The Japan Bearing Industrial Association,8,Commission own initiative,Infringement,81,Price fixing (horizontal and international),Francois-Xavier Ortoli (P),5,0,,,,,,,,
78,14650,31.01.1963,13.12.1974,142,BMW AG,BMW AG,1,Notification,Exemption,81,Vertical restraints,Francois-Xavier Ortoli (P),5,0,,,,,,,,
79,560,31.10.1962,19.12.1974,146,DURO-DYNE / EUROPAIR,Europair International SA; Duro-Dyne,2,Notification,Exemption,81,Exclusive dealing contract,Francois-Xavier Ortoli (P),5,0,,,,,,,,
80,28851,26.07.1974,19.12.1974,5,GENERAL MOTORS CONTINENTAL,General Motors Continental NV,1,Commission own initiative,Infringement,82,Obstructing parallel imports by overcharging for conformity certificates,Francois-Xavier Ortoli (P),5,1,26/75,,,,,,,
81,23013,07.11.1963,19.12.1974,134,GOODYEAR ITALIAN / EURAM,Goodyear Italiana SpA; Euram Italia SpA,2,Notification,Exemption,81,Exclusive sales agreement,Francois-Xavier Ortoli (P),5,0,,,,,,,,
82,26603,09.02.1968,20.12.1974,83,RANK / SOPELEM,"Rank Precision Industries Ltd.; Société d'optique, précision, électronique et mécanique",2,Notification,Exemption,81,"Horizontal restraints, via research and production agreements",Francois-Xavier Ortoli (P),5,0,,,,,,,,
83,26872,21.12.1970,20.12.1974,48,SHV / CHEVRON,Steenkolen-Handelsvereeniging NV; Chevron Oil Europe Inc.,2,Notification,Negative Clearance ,81,Vertical restraints through a joint venture,Francois-Xavier Ortoli (P),5,0,,,,,,,,
84,27039,19.09.1972,08.01.1975,27,Preserved Mushrooms,Blanchaud SA; Euroconserves; Champifrance; Faval SA; Champex-Centre; Taiwan Meshroom Packers United Export Corporation,6,Complaint,Infringement,81,Horizontal export quotas and price fixing,Francois-Xavier Ortoli (P),5,0,,,,,,,,
85,27879,30.06.1973,05.03.1975,20,SIRDAR- PHILDAR,Sirdar Limited; Les Fils de Louis Mulliez SA,2,Notification,Infringement,81,Trademark,Francois-Xavier Ortoli (P),5,0,,,,,,,,
86,712,04.05.1973,03.06.1975,25,Stoves and Heaters (Haarden- en Kachelhandel),Haarden- en Kachelbureau,1,Notification,Infringement,81,Vertical and horizontal restraints,Francois-Xavier Ortoli (P),5,0,,,,,,,,
87,28838,03.03.1974,14.07.1975,16,INTERGROUP,Intergroup Trading BV; Internationale Spar Centrale BV,2,Notification,Negative Clearance ,81,Joint purchasing,Francois-Xavier Ortoli (P),5,0,,,,,,,,
88,27000,28.04.1972,15.07.1975,39,IFTRA,"Alusuisse Deutschland GmbH; Gebrüder Giulini GmbH; Kaiser-Preussag Aluminium GmbH; Metallgesellschaft AG Frankfurt; VAW, Vereinigte Aluminium-Werke AG; Péchiney-Ugine Kuhlmann SA; Holland-Aluminium NV Den Haag; The British Aluminium Company, Londen; Empress Nacional del Aluminio SA Madrid; Ardal og Sunndal Verk; Elkem - Spigerverket AS; Norsk Hydro AS Karmoy; Vereinigte Metallwerke Ranshofen-Berndorf AG; Schweizerische Aluminium AG; Gränges Essem AB",16,Notification,Infringement,81,Vertical restraints,Francois-Xavier Ortoli (P),5,0,,,,,,,,
89,28775,21.12.1973,17.07.1975,19,UNIDI,Unione Nazionale Industrie Dentarie Italiane,1,Notification and Complaint,Exemption,81,Collusion between three main Italian dental equipment producers,Francois-Xavier Ortoli (P),5,1,43/85,,,,,,,
90,21353,02.02.1963,18.07.1975,150,KABELMETAL-LUCHAIRE,Kabel- und Metallwerke Gutehoffnungshütte AG; Ets Luchaire SA,2,Notification,Exemption,81,Patent rights and licensing,Francois-Xavier Ortoli (P),5,0,,,,,,,,
91,28967,06.08.1974,25.07.1975,12,Bronbemaling / Heidemaatschappij,NV Heidemaatschappij Beheer; Landdevelopment and Reclamation Company (Lareco) BV; BV Grondboorbedrijf J. Mos; De Ruiter Boringen en Bemalingen BV; Reinders-Wessemius Grondboorbedrijven BV,5,Notification,Infringement,81,Patents provoking vertical restraints,Francois-Xavier Ortoli (P) ,5,0,,,,,,,,
92,223,23.10.1974,23.10.1975,12,Transocean Marine Paint Association,"Molijn & Co. NV; J.C. de Coninck en Zonen NV; Astral, Société de Peintures, Vernis et Encres d'Imprimerie; Veneziani Zonca S.p.A.; Farbenfabriken Hansa-Hoëg; Storry Smithson Group of Companies; Sadolin & Holmblad A/S; C.Ljungdahls AB; Urruzola SA; The National Lacquer and Paint Products Co. Ltd.; Pacific Products Inc.; Nippon Paint Co. Ltd. Osaka; Nippon Paint Ltd. Singapore; Nippon Paint Malaysia; Nippon Paint Co. Ltd. Thailand; Spartan Paints Pty.Ltd Melbourne; Patterson-Sargent; Galleon Paints Co. Ltd.; Mauvilac & Co. Ltd.; Antillian Paint Factory Ltd.",20,Notification,Exemption,81,Horizontal market sharing,A. Borschette (M),6,0,,,,,,,,
93,256,31.10.1962,21.11.1975,157,Bomée-Stichting,Bomée Stichting,1,Notification,Infringement,81,Horizontal export ban,A. Borschette (M),6,0,,,,,,,,
94,26949,28.10.1971,02.12.1975,49,AOIP / BEYRARD,Mr. Norbert Beyrard; L'Association des Ouvriers en Instruments de Précision SA,2,Complaint followed by,Infringement,81,Exclusive licence selling,A. Borschette (M),6,0,,,,,,,,
95,847,19.12.1972,15.12.1975,36,SABA,SABA ( Schwarzwälder Apparate-Bau-Anstalt August Schwer und Söhne GmbH); A. Loschetter & Fils; Ets. Fr. Drion; SABA Nederland NV,4,Notification,Exemption,81,Vertical restraints,A. Borschette (M),6,1,26/76,,,,,,,
96,27073,18.12.1974,15.12.1975,12,BAYER / GIST-BROCADES,Bayer AG; Gist-Brocades,2,Comission own initative,Exemption,81,horizontal cooperation between two chemical producer,A. Borschette (M),6,0,,,,,,,,
97,26699,20.02.1974,17.12.1975,22,CHIQUITA,United Brands Continentaal BV,1,Complaint,Infringement,82,"Vertical customer restrictions, discriminatory pricing and refusal to supply",A. Borschette (M),6,1,27/76,,,,,,,
98,26940,11.10.1971,23.12.1975,51,UNITED REPROSSECORS GmbH,British Nuclear Fuels Ltd.; Commissariat à l'Énergie Atomique; Kernbrennstoff-Wiederaufarbeitungsgesellschaft GmbH,3,Notification,Exemption,81,Building a new distribution company with several companies sharing one market horizontal restraints),A. Borschette (M),6,0,,,,,,,,
99,26940,11.10.1971,23.12.1975,51,KEWA,Farbenfabriken Bayer AG; Farbwerke Hoechst AG; Gelsenberg AG; Nukem GmbH,4,Notification,Exemption,81,Building a new capacity plant for shared use of several German paint producer (joint venture),A. Borschette (M),6,0,,,,,,,,
100,29020,16.07.1975,09.06.1976,10,"VITAMINES, Hoffman - LaRoche",Hoffmann-La Roche & Company AG,1,Commission own initiative,Infringement,82,Fidelity rebates and exclusice dealing arrangements (horizontal),Patrick J. Hillery (VP),7,1,85/76,,,,,,,
101,26186,13.03.1967,25.06.1976,112,CSV,Centraal Stikstof Verkoopkantoor BV,1,Commission own initiative,Infringement,11,Did not supply information sufficiently,G. M. Thomson (M),8,0,,,,,,,,
102,28980,09.12.1974,26.07.1976,20,PABST and RICHARDZ / BNIA,Bureau national interprofessionnel de l'armagnac,1,Complaint,Infringement,81,No notification and horizontal export ban,G. M. Thomson (M),8,0,,,,,,,,
103,28996,27.01.1975,26.07.1976,18,REUTER / BASF,BASF AG; Dr. Gottfried Reuter; Gottfried-Reuter-Holding-GmbH,3,Complaint,Infringement,81,Vertical restraints between a research and a production company in the pharmacy market,G. M. Thomson (M),8,0,,,,,,,,
104,29018,23.02.1976,01.12.1976,9,Miller International Schallplatten GmbH,Miller International Schallplatten GmbH,1,Commission own initiative,Infringement,81,Vertical export ban,Raymond Vouel (M),9,1,19/77,,,,,,,
105,5715,29.01.1963,21.12.1976,167,Junghans,Gebrüder Junghans GmbH,1,Notification,Exemption and Negative clearance,81,Exclusive wholesaler contracts (vertical),Raymond Vouel (M),9,0,,,,,,,,
106,28812,24.01.1963,21.12.1976,167,THEAL / WATTS,Tepea BV; Cecil E. Watts Ltd.,2,Notification,Infringement,"81, 11",Vertical prevention of parallel imports; supplying false information to notification,Raymond Vouel (M),9,1,28/77,,,,,,,
107,24510,08.08.1974,22.12.1976,29,Gero-Fabriek,GERO-fabriek NV,1,Notification,Infringement,81,Restrictive wholesale prices and vertical restraints,Raymond Vouel (M),9,0,,,,,,,,
108,27442,28.06.1973,20.01.1977,43,VACUUM INTERRUPTERS Ltd,Vacuum Interrupters Ltd.; Associated Electrical Industries Ltd.; Reyrolle Parsons Ltd.,3,Notification,Exemption,81,"Building new company together, joint venture",Raymond Vouel (M),9,0,,,,,,,,
109,28841,04.01.1974,19.04.1977,40,ABG / OIL COMPANIES,Benzine en Petroleum Handelmaatschappij BV; British Petroleum Raffinaderij Nederland NV Rozenburg; British Petroleum Maatschappij Nederland BV Amsterdam,3,Complaint,Infringement,82,Abuse of dominant position concerning price increases,Raymond Vouel (M),9,1,77/77,,,,,,,
110,27093,02.03.1973,25.07.1977,53,De Laval-Stork,De Laval Turbine International Inc.; Koninklijke Machinefabriek Stork BV; Stork Roterende Werktuigen BV; De Laval-Stork VOF,4,Notification,Exemption,81,Joint venture,Raymond Vouel (M),9,0,,,,,,,,
111,"312, 366",30.10.1962,08.09.1977,178,COBELPA / VNP,"Association des Fabricants de Pâtes, Papiers et Cartons de Belgique; Vereeniging van Nederlandsche Papierfabrikanten; SA Papeteries de Belgiaue; SA Intermills; SA Papeteries de Virginal; Kon. Papierfabrieken Van Gelder; Gelderland-Tielens Papierfabrieken BVF; NV Papierfabrieken Van Houtum & Palm; Papierfabriek Huiskamp & Sanders NV; Kon. Nederlandse Papierfabriek",10,Commission own initiative,Infringement,81,Horizontal restraints,Raymond Vouel (M),9,0,,,,,,,,
112,417,29.10.1962,07.11.1977,180,BPICA,"Verband der Automobilindustrie E.V. (VDA); Fachverband der Fahrzeugindustrie Österreichs; Fédération Belge des Industries de l'Automobile et du Cycle (FEBIAC); Sammenslutningen af Automobil-Fabrikanter og Importorer; Agrupación Nacional de Fabricantes de Automoviles y Camiones (ANFAC); Motor Vehicle Manufacturers Association of the United States Inc.; Chambre Syndicale des Constructeurs d'Automobiles (CSCA); MOGÜRT, Société Hongroise pour le Commerce d'Automobile; Associazione nazionale fra industrie automobilistiche (ANFIA); Japan Automobile Manufacturers Association (JAMA); Automobilimportorenes Förening; Nederlandse Vereniging de Rijwiel- en Automobiel-Industrie (RAI); The Society of Motor Manufacturers & Traders Ltd.; Sveriges Bilindustri-och Bilgrossistförening Industrihuset; Chambre Syndicale Suisse de l'Automobile et branches annexes; MOTOKOV; V.O. AVTOEXPORT; Biro Prozvodaja Motornih Vozila; Polmo; Autotuojat t.y.   ",20,Notification,Exemption,81,Official union of car dealers (horizontal),Raymond Vouel (M),9,0,,,,,,,,
113,29428,14.03.1977,23.11.1977,9,GEC-WEIR Sodium Circulators,The Weir Group Ltd; The General Electric Company Ltd,2,Notification,Exemption,81,Joint venture,Raymond Vouel (M),9,0,,,,,,,,
114,147,25.10.1962,02.12.1977,181,Centraal Bureau voor de Rijwielhandel,Centraal Bureau voor de Rijwielhandel,1,Notification,Infringement,81,Vertical restraints and vertical export ban,Raymond Vouel (M),9,0,,,,,,,,
115,28948,14.10.1974,02.12.1977,38,Cauliflowers,"Société d'Investissements et de Coopération Agricoles of Saint-Pol-de-Léon; Union des Expéditeurs et Exportateurs en Fruits et Légumes du Finistère; Société Interprofessionnelle des Producteurs et Expéditeurs de Fruits, Légumes, Bulbes et Fleurs  d'Ille et Vilaine; Syndicat des Expéditeurs et Exportateurs en Légumes et Pommes de terre primeurs de la région Malouine",4,Notification,Infringement,81,Exclusive supply rights and vertical restraints,Raymond Vouel (M),9,0,,,,,,,,
116,356,14.01.1977,08.12.1977,11,Vereinigung deutscher Freiformschmieden,Vereinigung deutscher Freiformschmieden,1,Commission own initiative,Infringement,11,Did not allow investigation,Raymond Vouel (M),9,0,,,,,,,,
117,29132,28.10.1978,08.12.1977,11,HUGIN / LIPTONS,Hugin Kassaregister AB; Hugin Cash Register Ltd.,2,Complaint,Infringement,82,Refusal to supply due to dominant position,Raymond Vouel (M),9,1,22/78,,,,,,,
118,29151,08.12.1975,20.12.1977,25,Video cassette Recorders,Taylor Ltd.; Donald Fisher Ltd.; D. & J. McCallum Ltd.; Low Robertson & Co. Ltd.; John Robertson & Co. Ltd.; J. & W. Hardie Ltd.; John Crabbie & Co. Ltd.; Tanqueray Gordon & Co. Ltd.; Booth'sDistilleries Ltd.; Charles Tanqueray & Co. Ltd.; Boord & Son Ltd.; J. & J. Vickers & Co. Ltd.; Primm's,8,Notification,Infringement,81,"Horizontal restraints and horizontal export ban (MP, compatible)",Raymond Vouel (M),9,0,,,,,,,,
119,28282,30.06.1973,20.12.1977,54,DISTILLERS COMPANY LIMITED,"John Dewar & Sons Ltd; John Walker & Sons Ltd.; James Buchanan & Co. Ltd.; Buchanan-Booth's Agencies Ltd.; White Horse Distillers Ltd.; Wm. Sanderson & Son Ltd.; John Haig & Co. Ltd.; Distillers Agency Ltd.; A. & A. Crawford Ltd.; J. & G. Stewart Ltd.; Macdonald Greenlees Ltd.; Slater Rodger & Co. Ltd.; James Watson & Co. Ltd.; W.P. Lowrie & Co. Ltd.; Ainslie & Heilbron (Distillers) Ltd.; John Gillon & Co. Ltd,; John Begg Ltd.; Bermore Distilleries Ltd.; Peter Dawson Ltd.; Maclay Duff (Distillers) Ltd.; Mitchell Bros. Ltd.; Bulloch Lade & Co. Ltd.; J. & R. Harvey & Co. Ltd.; Daniel Crawford & Son Ltd.; John Hopkins & Co. Ltd.; Baird-Taylor Ltd.; Donald Fisher Ltd.; D. & J. McCallum Ltd.; Low Robertson & Co. Ltd.; John Robertson & Co. Ltd.; J. & W. Hardic Ltd.; John Crabbie & Co. Ltd.; Tanqueray Gordon & Co. Ltd.; Booth's Distilleries Ltd.; Charles Tanqueray & Co. Ltd.; Boord & Son Ltd.; J. & J. Vickers & Co. Ltd.; Pimm's Ltd",38,Complaint,Infringement,81,"Price setting, horizontal market sharing",Raymond Vouel (M),9,1,30/78,,,,,,,
120,29418,24.06.1977,21.12.1977,6,Spices,"Brook Bond Liebig Ltd., London; Brooke Bond Liebig Benelux; GB-Inno-BM SA; Delhaize Frères et Cie. Le Lion SA; Sarma Penney Ltd.",5,Commission own initiative,Infringement,81,Exclusive dealing contracts,Raymond Vouel (M),9,0,,,,,,,,
121,29236,26.02.1976,21.12.1977,22,SOPELEM / VICKERS,"Société d'optique, précision, électronique et mécanique (Sopelem) SA; Vickers Ltd.; Microscopes Nachet SA",3,Notification,Exemption,81,Joint R&D,Raymond Vouel (M),9,0,,,,,,,,
122,29146,24.11.1975,23.12.1977,25,BMW BELGIUM,BMW Belgium NV; Autohandel O. Cocquyt NV; Etn W. Jorssen; Farage Hindrickx; Pvba J. Siau-Vermeesch; Ets. J. De Smeth; Ets. Jo Vallé; Ets. J. Depotter; Garage J. Williquet Spril.; Ets. Rajans SA; Garage Verhaeren; S.C. De Wilde Motor; Ets. Autogamas Sprl.; Ets. Houyoux; Garage Léon Louyet Sprl.; Station Albert 1er SA; Sprl Auto-Service; Ets. A. Petit & Co. SA; Ets. Jean Blaise Sprl; Ets. Cuisinier; Ets. Briot Sprl.; Garage Georges Antoine; Garage Hubert Scaillet; Ets. Ferracin; Ets. Le Stop; Autobedrijf De Ruysscher; Garage W. Termont-Vermeire; NV Centrauto; Garage R. Geurts & Zn. Pvga; Etn. Dekkers; Etn. J. Vandeperre Pvba; J. Sebrechts; Garage Van Avondt & Zn. Pvba; Garage A. Ottevaere; Ceres-Leterme Pvba; Garage St. Christophe Pvba;Garage Vangoidsenhoven; Garage Moderne-Ghyselinck; Garage R. Kellens-Behiels; Garage S. De Mey; Etn. J. & M. Sels Pvba; Garage Tanghe Pvba; Pvba Gebr. Van den Bulck; Pvba De Kempische Molen; Garage Aalbrecht; Etn. Erco NV; Garage A. Liesens; Garage Centrum-Mottoul,48,Complaint and Commission own initiative,Infringement,81,Vertical export ban,Raymond Vouel (M),9,1,"32/78, 36/78, 37/78, 38/78, 39/78, 40/78, 41/78, 42/78, 43/78, 44/78, 45/78, 46/78, 47/78, 48/78, 49/78, 50/78, 51/78, 52/78, 53/78, 54/78, 55/78, 56/78, 57/78, 58/78, 59/78, 60/78, 61/78, 62/78, 63/78, 64/78, 65/78, 66/78, 67/78, 68/78, 69/78, 70/78, 71/78, 72/78, 73/78, 74/78, 75/78, 76/78, 77/78, 78/78, 79/78, 80/78, 81/78, 82/78",,,,,,,
123,29246,31.03.1976,23.12.1977,21,Penneys,J.C. Penney Company Inc; J.C. Penney Purchasing Corporation; Associated British Foods Ltd.; Fine Fare Ltd.; Primark Ltd.; Penneys (NI) Ltd.; Penneys Primark Quinnsworth Ltd.; Bee Line Products Ltd.; Power Supermarkets Ltd,9,Notification,Negative Clearance ,81,Trademark,Raymond Vouel (M),9,0,,,,,,,,
124,26437,20.03.1967,23.12.1977,129,JAZ - PETER II,Jaz SA of Paris; Peter-Uhren of Rottweil,2,Notification,Exemption,81,Horizontal production sharing,Raymond Vouel (M),9,0,,,,,,,,
125,29176,25.04.1977,23.12.1977,8,Vegetable Parchment,Papeteries Alamigeon & Lacroix SA; Papeteries Dalle & Lecomte SA; Cartiere Burgo SpA; Feldmühle AG;,9,Commission own initiative,Infringement,81,Horizontal market sharing and coordination of price increases,Raymond Vouel (M),9,0,,,,,,,,
126,"117, 171, 172, 856, 28173",20.10.1962,23.12.1977,182,CAMPARI,Davide Campari-Milano SpA; Ognibeni & Co.; Hans Prang; Campari-France SA; Sovinac SA; Johs. M. Klein & Co.,6,Notification,Exemption,81,Trademark licensing agreement,Raymond Vouel (M),9,0,,,,,,,,
127,29559,06.02.1962,26.05.1978,196,RAI / UNITEL,UNITEL Film- und Fernsch-Produktionsgesellschaft mbH & Co,1,Comission own initative,Infringement,15,Did not supply all information,Raymond Vouel (M),9,0,,,,,,,,
128,29453,31.05.1977,12.06.1978,12,SNPE-LEL,Société nationale des poudres et explosifs; Leafields Engineering Ltd.,2,Notification,Infringement,81,Horizontal export restrictions,Raymond Vouel (M),9,0,,,,,,,,
129,"28852, 29127, 29149",02.04.1974,20.07.1978,52,FEDETAB,Fedetab ASBL; Cinta SA; Ets Gosset SA; Jubile SA; Vander Elst SA; Weltab SA; BAT Benelux SA; Heintz van Landewyck SARL,8,Complaint,Infringement,81,Horizontal restraints,Raymond Vouel (M),9,1,"209/78, 210/78, 211/78, 212/78, 213/78, 214/78, 215/78, 218/78",,,,,,,
130,26186,13.03.1967,20.07.1978,137,CSV,Unie van Kunstmestfabrieken BV; Nederlandse Stikstof Maadschappij NV; Centraal Stikstof Verkoopkantoor BV ,3,Commission own initiative,Infringement,81,Exclusive dealing contracts (horizontal),Raymond Vouel (M),9,0,,,,,,,,
131,29440,21.09.1977,28.07.1978,10,ARTHUR BELL and SONS Ltd,Arthur Bell and Sons Ltd.,1,Commission own initiative,Infringement,81,Direct export prohibition,Raymond Vouel (M),9,0,,,,,,,,
132,28859,17.04.1974,28.07.1978,51,TEACHER and SONS,Wm. Teacher and Sons Ltd.,1,Notification,Infringement,81,Direct and indirect export prohibition,Raymond Vouel (M),9,0,,,,,,,,
133,28824,01.11.1965,21.09.1978,155,Breeders'Right- Maize Seed,Institut national de la recherche agronomique (INRA); Société anonyme Française des Semences de Mais (FRASEMA); Mr. Kurt Eisele; L.C. Nungesser KG; Firma Louis David KG,5,Notification and Complaint,Infringement,81,Vertical export ban,Raymond Vouel (M),9,1,258/78,,,,,,,
134,29133,28.10.1975,20.10.1978,36,Wano Schwarzpulver,Imperial Chemical Industries Ltd.; Bohlen Industries AG; Wasagchemie GmbH,3,Notification,Infringement,81,Joint venture,Raymond Vouel (M),9,0,,,,,,,,
135,1576,28.01.1963,23.10.1978,189,ZANUSSI,Industrie A. Zanussi SpA,1,Notification,Infringement,81,Exclusive dealing contracts (vertical),Raymond Vouel (M),9,0,,,,,,,,
