case_id,case_number,investigation_started,decision_date,duration_months,case_name,parties_name,parties_count,report_route,decision_type,article_infringed,offense_nature,commissioner,commissioner_id,appeal,court_case_linked,,,,,,,
18,93,20.10.1962,13.03.1969,76,EEMO,Verein Deutscherr Werkzeugmaschinenfabriken; Fachverband der Maschinen- und Stahl- und Eisenbauindustrie Österreichs; Syndicat des constructeurs belges de machinesoutils pour le travail des métaux; Foreningen af Danske Vaerktöjsmaskinfabrikanter; Syndicat des constructeurs français de machines-outils; The Machine Tool Trades Association (Metalworking Machine Tool Manufacturers' Section; Unione Costruttori Italiani Macchine Utensili; Vereniging van Metaal-Industrieën (Groep Gereedschapswerktuigen); Föreningen Svenska Verktygmaskintillverkare; Verein Schweizerischer Maschinen-Industrieller; Asociación Espanola de Fabricantes de Máguinas-Herramientas; Centrol de Cooperaçao des Industriais de Maquinas-Ferramientas,12,Notification,Exemption,81,Exclusive dealing contracts Association of associations,Jean Rey (P),2,0,,,,,,,,
19,"242, 295",31.10.1962,05.05.1969,78,Convention Chaufourniers,"SA en liquidation Carrières Dufour; SA Carrières, chaux et ciments de la Velorie; SA Carrières, chaux et ciments des Prés et de la Roguette; SA Compagnie des Ciments Portland de Vaulx et Antoing; SPRL F. Sherrington et Cie; SA Ciments Portland du Tournaisis; SA Anciens établissements Liévin Vanderdoodt; SPRL Éts Brébart Dapsens; SPRL Éts Jean Agache Lampe; SA Société française des chaux hydrauliques et diments; SA The Antwerp Portland Cement Company; Madame Veuve Fernand Duthoit Staquet; SA en liquidation Briquetereis et cemtnteries de Bruyelles-lez-Antoing",13,Notification,Negative Clearance ,81,Horizontal restraints,Jean Rey (P),2,0,,,,,,,,
20,22548,22.02.1963,18.06.1969,76,Christiani and Nielsen,Christiani & Nielsen à Copenhagen; Christiani & Nielsen à  La Haye,2,Notification,Negative Clearance ,81,Horizontal export restraints,Jean Rey (P),2,0,,,,,,,,
21,597,31.10.1962,25.06.1969,80,VVVF,VVVF (Vereniging van Vernis- en Verffabrikanten in Nederland),1,Notification,Negative Clearance ,81,Horizontal export restraints,Jean Rey (P),2,0,,,,,,,,
22,"704, 25410",09.09.1964,30.06.1969,58,Seifa,"Seifa SpA; Montecatini Edison SpA; APE, Elettrochimica ligure SpA; SINCAT, Società industriale catanese SpA; Rumianca SpA; Caffaro SpA, Società per l'industria chimica et elettrochimica; Snia Viscasa SpA; Vetrocoke Cokapuania SpA; Carlo Marchi Società in accomandita semplice; ISPEA Industria sali potassici et affini SpA",10,Notification,Negative Clearance ,81,Horizontal restraints,Jean Rey (P),2,0,,,,,,,,
23,26623,29.07.1968,16.07.1969,12,Quinine,NV Nederlandse Combinatie voor Chemische Industrie; Boehringer Mannheim GmbH; Buchler & Co. ; Société chimique Pointet-Girard SA; Société nogentaise de produits chimiques; Pharmacie centrale de France,6,Commission own initiative,Infringement ,81,"Horizontal market sharing, quota arrangements and price fixing",Jean Rey (P),2,1,"41/69, 44/69, 45/69",,,,,,,
24,26625,02.04.1968,22.07.1969,16,Clima Chappee-Buderus,Clima Chappée; AG Buderus'sche Eisenwerke,2,Notification,Exemption,81,"Horizontal restraints, via producton sharing",Jean Rey (P),2,0,,,,,,,,
25,26437,20.03.1967,22.07.1969,28,Jaz-Peter I,Jaz SA; Peter-Uhren GmbH,2,Notification,Exemption,81,"Horizontal restraints, via producton sharing",Jean Rey (P),2,0,,,,,,,,
26,26267,31.05.1967,24.07.1969,26,"Matieres colorantes, Dyestuffs",Badische Anilin- und Soda-Fabrik (BASF); Cassella Farbwerke Mainkur AG; Farbenfabriken Bayer AG; Farbwerke Hoechst AG; Française des matières solorantes SA; Aziende Colori Nazionali Affini SpA; SA Ciba; J.R. Geigy SA; Sandoz SA; Imperial Chemical Industries Ltd. (I.C.I.),10,Commission own initiative,Infringement ,81,Horizontal price fixing,Jean Rey (P),2,1,"48/69, 49/69, 51/69, 54/69, 55/69, 56/69, 57/69",,,,,,,
27,"24470, 24471",12.02.1969,05.12.1969,10,Pirelli-Dunlop,Pirelli SpA Milan; SA des pneumatiques Dunlop; SA Pirelli France; Società Italiana Dunlop,4,Notification,Negative Clearance ,81,Horizontal restraints,Jean Rey (P),2,0,,,,,,,,
28,412,13.06.1969,29.06.1970,13,ASBL Tube d'Acier Soudé  Electr.,"SA des usines à tubes de la Meuse; Aciéries réunies de Burbach-Eich-Dedelange ""Arbed""; SA des tubes de Nimy; Ateliers Remy Claeys",4,Notification,Negative Clearance ,81,Use of same brand name,Jean Rey (P),2,0,,,,,,,,
29,24055,06.05.1963,30.06.1970,86,Kodak,"Kodak-Pathé Parijs, Kodak AG Stuttgart; Kodak SA Brussel; Kodak SpA Milaan; Kodak NV Den Haag",5,Notification,Negative Clearance ,81,Vertical restraints,Jean Rey (P),2,0,,,,,,,,
30,299,31.10.1962,30.06.1970,92,ASPA,ASPA,1,Notification,Negative Clearance ,81,Horizontal restraints,Jean Rey (P),2,0,,,,,,,,
31,"128, 1968",31.10.1963,28.10.1970,84,Julien / Van Katwijk,Van Katwijk's Industrieën NV; SA Tuberies Louis Julien,2,Notification,Infringement ,81,Market sharing,Franco M. Malfatti (P),3,0,,,,,,,,
32,"3213, 10498, 11546, 12992, 17394, 17395, 17971, 18772, 18888",N/A,28.10.1970,93,Omega,SA Omega Louis Brendt et Frères; SA Maison Brandt Frères; SpA De Marchi Fratelli; SA Ultimo Watch; Uhren-Handelsgesellschaft mbH; A. Kinsbergen NV,6,Notification,Exemption,81,Exclusive distribution ,Franco M. Malfatti (P),3,0,,,,,,,,
33,337,12.02.1970,23.12.1970,10,Supexie,Supexie; Péchiney Saint Gobain; Ugine-Kuhlmann; Société des fertilisants de l'Ouest; Établissements Linet,5,Notification,Negative Clearance,81,Vertical export ban and price fixing,Franco M. Malfatti (P),3,0,,,,,,,,
34,25107,25.03.1964,29.12.1970,81,Carreaux Ceramiques (Interest Grouping of German Ceramic Tile Manufacturer),AG Norddeutsche Steingutfabrik; AGROB AG für Grob- und Feinkeramik; Albertwerke Klingenberg Keramische Fliesen und Sosaik GmbH; Wilhelm Gail'sche Tonwerke KGaA; Marienberger Mosaikplattenfabrik AG; OSTARA Fliesen GmbH; Servais-Werke AG; Steinzeug- und Mosaikplattenfabrik GmbH; Steuler-Industriewerke GmbH; Velleroy und Bosch Keramische Werke KG; Wandplattenfabrik Engers GmbH; Wessel-Werk GmbH,12,Notification,Infringement ,81,Price fixing agreements (horizontal),Franco M. Malfatti (P),3,0,,,,,,,,
35,26792,24.11.1969,01.02.1971,14,CICG-Zeiv / ZPÜ,ZPÜ ,1,Notification,Infringement,12,Did not supply information,Franco M. Malfatti (P),3,0,,,,,,,,
36,26624,27.03.1968,28.05.1971,38,FN / CF,(FN)Fabrique nationale d'armes de guerre SA; (CF)Cartoucherie française ,2,Notification,Exemption,81,Horizontal export ban and capacity utilization,Franco M. Malfatti (P),3,0,,,,,,,,
37,26760,09.06.1970,02.06.1971,12,Gema,GEMA (Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte),1,Commission own initiative,Infringement ,82,Creating Horizontal and vertical restraints by abuse of dominance,Franco M. Malfatti (P),3,0,,,,,,,,
38,399,09.10.1969,18.06.1971,21,Albra-Brasserie Espérance,Albra-Brasserie Espérance,1,Commission own initiative,Infringement,11,Did not supply information,Franco M. Malfatti (P),3,0,,,,,,,,
39,399,09.10.1969,18.06.1971,21,Union des Brasseries,Union des Brasseries,1,Commission own initiative,Infringement,11,Did not supply information,Franco M. Malfatti (P),3,0,,,,,,,,
40,399,09.10.1969,18.06.1971,21,Brasserie MAES,Brasserie Maes NV,1,Commission own initiative,Infringement,11,Did not supply information,Franco M. Malfatti (P),3,0,,,,,,,,
41,239,10.02.1971,02.07.1971,5,Asphaltoïd-Keller,Asphaltoïd-Keller,1,Commission own initiative,Infringement,11,Did not supply information,Franco M. Malfatti (P),3,0,,,,,,,,
42,181,25.10.1962,24.09.1971,107,CEMATEX,"Fachgemeinschaft Textilmaschinen im Verein Deutscher Maschinenbau-Anstalten FN (VDMA); Syndicat des Constructeurs belges de machines textiles (SYMATEX); Union des Constructeurs de matériel textile de France; TREX British Textile Machinery Organisation; Associazione Construttori Italiani di Macchinario per l'Industria Tessile (ACIMIT); Vereniging van Metaal-Industrieën, Groep Textielmachines; Société suisse des Constructeurs de machines groupe ""Industrie des machines textiles""",7,Notification,Exemption,81,Horizontal restraints,Franco M. Malfatti (P),3,0,,,,,,,,
43,26909,10.06.1971,09.11.1971,5,SIAE,"Comité européen des Constructeurs de matériel textile (CEMATEX); Fachgemeinschaft Textilmaschinen im Verein Deutscher Maschinenbau-Anstalten FN (VDMA); Syndicat des Constructeurs belges de machines textiles (SYMATEX); Union des Constructeurs de matériel textile de France; TREX British Textile Machinery Organisation; Associazione Construttori Italiani di Macchinario per l'Industria Tessile (ACIMIT); Vereniging van Metaal-Industrieën, Groep Textielmachines; Société suisse des Constructeurs de machines groupe ""Industrie des machines textiles""",8,Commission own initiative,Infringement,11,Did not supply information,Franco M. Malfatti (P),3,0,,,,,,,,
