mutation_key,decision_date,case_numbers_raw,case_numbers_normalized,source,source_native_id,source_record_id,date_caseno_key,date_caseno_source_key,decision_label,decision_title,has_downloadable_url,is_downloaded,download_status,source_urls,download_urls,download_paths,successful_download_paths,source_manifest_file
1,11.03.1964,61 | IV/61,61,andrea | com_legacy,1 | com_legacy_1964_line_14,andrea:1 | com_legacy:com_legacy_1964_line_14,1964/11/03/61,1964/11/03/61/andrea | 1964/11/03/61/com_legacy,Negative Clearance | Negative Clearance Decision,Grosfillex & Fillistorf | Grosfillex | Fillistorf,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1964.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31964D0233 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31964D0233 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31964D0233 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31964D0233 | http://ec.europa.eu/competition/search.html | http://ec.europa.eu/competition/antitrust/closed/en/1964.html#top,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0233_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0233_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1964.html,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0233_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0233_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1964.html,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
2,01.06.1964,12868 | IV/12868,12868,andrea | com_legacy,2 | com_legacy_1964_line_11,andrea:2 | com_legacy:com_legacy_1964_line_11,1964/01/06/12868,1964/01/06/12868/andrea | 1964/01/06/12868/com_legacy,Negative Clearance | Negative Clearance Decision,Bendix & Meertens and Straet | Bendix | Mertens and Straat,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1964.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31964D0344 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31964D0344 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31964D0344 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31964D0344,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0344_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0344_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0344_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0344_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
3,30.07.1964,95 | IV/95,95,andrea | com_db_comp | com_legacy,3 | 1801 | com_legacy_1964_line_8,andrea:3 | com_db_comp:1801 | com_legacy:com_legacy_1964_line_8,1964/07/30/95,1964/07/30/95/andrea | 1964/07/30/95/com_db_comp | 1964/07/30/95/com_legacy,Negative Clearance | not_exclusion_candidate | Negative Clearance Decision,Nicholas Frères & Vitapro | Nicholas Freres/Vitapro | Nicholas Freres | Vitapro,TRUE,TRUE,reference_only | already_downloaded,https://db-comp.eu/document_1801.download | http://ec.europa.eu/competition/antitrust/closed/en/1964.html,https://db-comp.eu/document_1801.download | https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31964D0502 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31964D0502 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31964D0502 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31964D0502,/home/edik/projects/eccjeu/data/raw/com_db_comp/files/00093-EMO-_Dec-1988_.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0502_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0502_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_db_comp/files/00093-EMO-_Dec-1988_.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0502_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0502_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_db_comp/db_comp_metadata_manifest.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
4,23.09.1964,3344,3344,andrea,4,andrea:4,1964/09/23/3344,1964/09/23/3344/andrea,Infringement,Grundig-Consten,FALSE,FALSE,reference_only,,,,,/home/edik/projects/eccjeu/input/andrea_input.csv
4,23.09.1964,IV/3344 | IV/4,4; 3344,com_legacy,com_legacy_1964_line_5,com_legacy:com_legacy_1964_line_5,1964/09/23/4/3344,1964/09/23/4/3344/com_legacy,Prohibition Decision,Grundig-Consten,TRUE,TRUE,already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1964.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31964D0566 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31964D0566 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31964D0566 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31964D0566,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0566_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0566_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0566_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0566_DE.pdf,/home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
6,22.10.1964,71 | IV/71,71,andrea | com_legacy,5 | com_legacy_1964_line_2,andrea:5 | com_legacy:com_legacy_1964_line_2,1964/10/22/71,1964/10/22/71/andrea | 1964/10/22/71/com_legacy,Negative Clearance | Negative Clearance Decision,Deca,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1964.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31964D0599 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31964D0599 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31964D0599 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31964D0599,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0599_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0599_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31964D0599_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31964D0599_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
7,08.07.1965,3036 | IV/3036,3036,andrea | com_db_comp | com_legacy,6 | 1754 | com_legacy_1965_line_8,andrea:6 | com_db_comp:1754 | com_legacy:com_legacy_1965_line_8,1965/08/07/3036,1965/08/07/3036/andrea | 1965/08/07/3036/com_db_comp | 1965/08/07/3036/com_legacy,Exemption | not_exclusion_candidate | Exemption Decision,Dru-Blondel | D.R.U./Blondel,TRUE,TRUE,reference_only | already_downloaded,https://db-comp.eu/document_1754.download | http://ec.europa.eu/competition/antitrust/closed/en/1965.html,https://db-comp.eu/document_1754.download | https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31965D0366 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31965D0366 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31965D0366 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31965D0366 | http://ec.europa.eu/competition/search.html | http://ec.europa.eu/competition/antitrust/closed/en/1965.html#top,/home/edik/projects/eccjeu/data/raw/com_db_comp/files/3036-D.R.U.-Blondel-_July-1965_.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31965D0366_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31965D0366_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1965.html,/home/edik/projects/eccjeu/data/raw/com_db_comp/files/3036-D.R.U.-Blondel-_July-1965_.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31965D0366_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31965D0366_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1965.html,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_db_comp/db_comp_metadata_manifest.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
8,17.09.1965,2702 | IV/2702,2702,andrea | com_legacy,7 | com_legacy_1965_line_5,andrea:7 | com_legacy:com_legacy_1965_line_5,1965/09/17/2702,1965/09/17/2702/andrea | 1965/09/17/2702/com_legacy,Exemption | Exemption Decision,Hummel-Isbecque | Hummel - Isbecque,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1965.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31965D0426 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31965D0426 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31965D0426 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31965D0426,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31965D0426_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31965D0426_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31965D0426_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31965D0426_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
9,17.12.1965,22491 | IV/22491,22491,andrea | com_legacy,8 | com_legacy_1965_line_2,andrea:8 | com_legacy:com_legacy_1965_line_2,1965/12/17/22491,1965/12/17/22491/andrea | 1965/12/17/22491/com_legacy,Exemption | Exemption Decision,Maison Jallatte | Maison Jalatte,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1965.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31966D0005 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31966D0005 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31966D0005 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31966D0005,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31966D0005_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31966D0005_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31966D0005_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31966D0005_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
10,27.06.1967,223 | IV/223,223,andrea | com_legacy,9 | com_legacy_1967_line_2,andrea:9 | com_legacy:com_legacy_1967_line_2,1967/06/27/223,1967/06/27/223/andrea | 1967/06/27/223/com_legacy,Exemption | Exemption Decision,Transocean Marine Paint Association,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1967.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31967D0454 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31967D0454 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31967D0454 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31967D0454 | http://ec.europa.eu/competition/search.html | http://ec.europa.eu/competition/antitrust/closed/en/1967.html#top,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31967D0454_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31967D0454_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1967.html,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31967D0454_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31967D0454_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1967.html,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
11,26.02.1968,26352 | IV/26352,26352,andrea | com_legacy,10 | com_legacy_1968_line_23,andrea:10 | com_legacy:com_legacy_1968_line_23,1968/02/26/26352,1968/02/26/26352/andrea | 1968/02/26/26352/com_legacy,Negative Clearance | Negative Clearance Decision,Eurogypsum,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0128 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0128 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0128 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0128 | http://ec.europa.eu/competition/search.html | http://ec.europa.eu/competition/antitrust/closed/en/1968.html#top,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0128_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0128_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1968.html,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0128_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0128_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1968.html,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
12,17.07.1968,129 | IV/129,129,andrea | com_legacy,12 | com_legacy_1968_line_20,andrea:12 | com_legacy:com_legacy_1968_line_20,1968/07/17/129,1968/07/17/129/andrea | 1968/07/17/129/com_legacy,Negative Clearance | Negative Clearance Decision,Socemas,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0318 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0318 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0318 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0318,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0318_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0318_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0318_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0318_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
13,17.07.1968,25140 | IV/25140,25140,andrea | com_legacy,11 | com_legacy_1968_line_17,andrea:11 | com_legacy:com_legacy_1968_line_17,1968/07/17/25140,1968/07/17/25140/andrea | 1968/07/17/25140/com_legacy,Negative Clearance | Negative Clearance Decision,Alliance Constructeurs Francais de Machines-Outils | Constructeurs Français de Machines-Outils,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0317 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0317 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0317 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0317,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0317_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0317_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0317_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0317_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
14,17.07.1968,26045 | IV/26045,26045,andrea | com_legacy,13 | com_legacy_1968_line_14,andrea:13 | com_legacy:com_legacy_1968_line_14,1968/07/17/26045,1968/07/17/26045/andrea | 1968/07/17/26045/com_legacy,Exemption | Exemption Decision,Acec-Berliet,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0319 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0319 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0319 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0319,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0319_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0319_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0319_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0319_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
15,06.11.1968,23077 | IV/23077,23077,andrea | com_legacy,16 | com_legacy_1968_line_11,andrea:16 | com_legacy:com_legacy_1968_line_11,1968/06/11/23077,1968/06/11/23077/andrea | 1968/06/11/23077/com_legacy,Negative Clearance | Negative Clearance Decision,Rieckermann /AEG-Elotherm | Rieckermann / AEG-Elotherm,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0376 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0376 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0376 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0376,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0376_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0376_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0376_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0376_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
16,06.11.1968,507 | IV/507,507,andrea | com_legacy,15 | com_legacy_1968_line_8,andrea:15 | com_legacy:com_legacy_1968_line_8,1968/06/11/507,1968/06/11/507/andrea | 1968/06/11/507/com_legacy,Negative Clearance | Negative Clearance Decision,Cobelaz-Cokeries,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0375 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0375 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0375 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0375,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0375_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0375_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0375_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0375_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
17,06.11.1968,565 | IV/565,565,andrea | com_legacy,14 | com_legacy_1968_line_5,andrea:14 | com_legacy:com_legacy_1968_line_5,1968/06/11/565,1968/06/11/565/andrea | 1968/06/11/565/com_legacy,Negative Clearance | Negative Clearance Decision,Cobelaz-Usines de Synthese | Cobelaz - Usines de Synthèse,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0374 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0374 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0374 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0374,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0374_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0374_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0374_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0374_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
18,06.11.1968,666 | IV/666,666,andrea | com_legacy,17 | com_legacy_1968_line_2,andrea:17 | com_legacy:com_legacy_1968_line_2,1968/06/11/666,1968/06/11/666/andrea | 1968/06/11/666/com_legacy,Negative Clearance | Negative Clearance Decision,CFA,TRUE,TRUE,reference_only | already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1968.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31968D0377 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31968D0377 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31968D0377 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31968D0377,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0377_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0377_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31968D0377_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31968D0377_DE.pdf,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
19,13.03.1969,93 | IV/93,93,andrea | com_db_comp | com_legacy,18 | 1061 | com_legacy_1969_line_29,andrea:18 | com_db_comp:1061 | com_legacy:com_legacy_1969_line_29,1969/03/13/93,1969/03/13/93/andrea | 1969/03/13/93/com_db_comp | 1969/03/13/93/com_legacy,Exemption | not_exclusion_candidate | Exemption Decision,EEMO | European Machine Tool Exhibitions (EEMO) | EMO,TRUE,TRUE,reference_only | already_downloaded,https://db-comp.eu/document_1061.download | http://ec.europa.eu/competition/antitrust/closed/en/1969.html,https://db-comp.eu/document_1061.download | https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31969D0090 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31969D0090 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31969D0090 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31969D0090 | http://ec.europa.eu/competition/search.html | http://ec.europa.eu/competition/antitrust/closed/en/1969.html#top,/home/edik/projects/eccjeu/data/raw/com_db_comp/files/CELEX-31979D0037-EN-TXT.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31969D0090_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31969D0090_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1969.html,/home/edik/projects/eccjeu/data/raw/com_db_comp/files/CELEX-31979D0037-EN-TXT.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31969D0090_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31969D0090_DE.pdf | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/search.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/html/1969.html,/home/edik/projects/eccjeu/input/andrea_input.csv | /home/edik/projects/eccjeu/output/com_db_comp/db_comp_metadata_manifest.csv | /home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
20,05.05.1969,IV/242,242,com_legacy,com_legacy_1969_line_26,com_legacy:com_legacy_1969_line_26,1969/05/05/242,1969/05/05/242/com_legacy,Negative Clearance Decision,Convention Chaufourniers,TRUE,TRUE,already_downloaded,http://ec.europa.eu/competition/antitrust/closed/en/1969.html,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31969D0152 | https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31969D0152 | https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:31969D0152 | https://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31969D0152,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31969D0152_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31969D0152_DE.pdf,/home/edik/projects/eccjeu/data/raw/com_legacy/files/html/31969D0152_DE.html | /home/edik/projects/eccjeu/data/raw/com_legacy/files/pdfs/31969D0152_DE.pdf,/home/edik/projects/eccjeu/output/com_legacy/download_case_manifest.csv
20,05.05.1969,"242, 295",242; 295,andrea,19,andrea:19,1969/05/05/242/295,1969/05/05/242/295/andrea,Negative Clearance,Convention Chaufourniers,FALSE,FALSE,reference_only,,,,,/home/edik/projects/eccjeu/input/andrea_input.csv
